country,region,population,pop_density,infant_mortality,GDP_p_capita,literacy,climate,birthrate,deathrate
Dominican Republic ,LATIN AMER. & CARIB    ,9183984,188.5,"32,38",6000.0,84.7,2,23.22,5.73
East Timor ,ASIA (EX. NEAR EAST)         ,1062777,70.8,"47,41",500.0,58.6,2,26.99,6.24
Ecuador ,LATIN AMER. & CARIB    ,13547510,47.8,"23,66",3300.0,92.5,2,22.29,4.23
Egypt ,NORTHERN AFRICA                    ,78887007,78.8,"32,59",4000.0,57.7,1,22.94,5.23
El Salvador ,LATIN AMER. & CARIB    ,6822378,324.3,"25,1",4800.0,80.2,2,26.61,5.78
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,19.3,"85,13",2700.0,85.7,2,35.59,15.06
Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,39.5,"74,87",700.0,58.6,"1,5",34.33,9.6
Estonia ,BALTICS                            ,1324333,29.3,"7,87",12300.0,99.8,3,10.04,13.25
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,66.3,"95,32",700.0,42.7,2,37.98,14.86
Faroe Islands ,WESTERN EUROPE                     ,47246,33.8,"6,24",22000.0,,,14.05,8.7
Fiji ,OCEANIA                            ,905949,49.6,"12,62",5800.0,93.7,2,22.55,5.65
Finland ,WESTERN EUROPE                     ,5231372,15.5,"3,57",27400.0,100.0,3,10.45,9.86
France ,WESTERN EUROPE                     ,60876136,111.3,"4,26",27600.0,99.0,4,11.99,9.14
French Guiana ,LATIN AMER. & CARIB    ,199509,2.2,"12,07",8300.0,83.0,2,20.46,4.88
French Polynesia ,OCEANIA                            ,274578,65.9,"8,44",17500.0,98.0,2,16.68,4.69
Gabon ,SUB-SAHARAN AFRICA                 ,1424906,5.3,"53,64",5500.0,63.2,2,36.16,12.25
"Gambia, The ",SUB-SAHARAN AFRICA                 ,1641564,145.3,"72,02",1700.0,40.1,2,39.37,12.25
Gaza Strip ,NEAR EAST                          ,1428757,3968.8,"22,93",600.0,,3,39.45,3.8
Georgia ,C.W. OF IND. STATES ,4661473,66.9,"18,59",2500.0,99.0,3,10.41,9.23
Germany ,WESTERN EUROPE                     ,82422299,230.9,"4,16",27600.0,99.0,3,8.25,10.62
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,93.6,"51,43",2200.0,74.8,2,30.52,9.72
Gibraltar ,WESTERN EUROPE                     ,27928,3989.7,"5,13",17500.0,,,10.74,9.31
Greece ,WESTERN EUROPE                     ,10688058,81.0,"5,53",20000.0,97.5,3,9.68,10.24
Greenland ,NORTHERN AMERICA                   ,56361,0.0,"15,82",20000.0,,1,15.93,7.84
Grenada ,LATIN AMER. & CARIB    ,89703,260.8,"14,62",5000.0,98.0,2,22.08,6.88
Guadeloupe ,LATIN AMER. & CARIB    ,452776,254.4,"8,6",8000.0,90.0,2,15.05,6.09
Guam ,OCEANIA                            ,171019,316.1,"6,94",21000.0,99.0,2,18.79,4.48
Guatemala ,LATIN AMER. & CARIB    ,12293545,112.9,"35,93",4100.0,70.6,2,29.88,5.2
Guernsey ,WESTERN EUROPE                     ,65409,838.6,"4,71",20000.0,,3,8.81,10.01
Guinea ,SUB-SAHARAN AFRICA                 ,9690222,39.4,"90,37",2100.0,35.9,2,41.76,15.48
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,39.9,"107,17",800.0,42.4,2,37.22,16.53
Guyana ,LATIN AMER. & CARIB    ,767245,3.6,"33,26",4000.0,98.8,2,18.28,8.28
Haiti ,LATIN AMER. & CARIB    ,8308504,299.4,"73,45",1600.0,52.9,2,36.44,12.17
Honduras ,LATIN AMER. & CARIB    ,7326496,65.4,"29,32",2600.0,76.2,2,28.24,5.28
Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,6355.7,"2,97",28800.0,93.5,2,7.29,6.29
Hungary ,EASTERN EUROPE                     ,9981334,107.3,"8,57",13900.0,99.4,3,9.72,13.11
Iceland ,WESTERN EUROPE                     ,299388,2.9,"3,31",30900.0,99.9,3,13.64,6.72
India ,ASIA (EX. NEAR EAST)         ,1095351995,333.2,"56,29",2900.0,59.5,"2,5",22.01,8.18
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,127.9,"35,6",3200.0,87.9,2,20.34,6.25
Iran ,ASIA (EX. NEAR EAST)         ,68688433,41.7,"41,58",7000.0,79.4,1,17.0,5.55
Iraq ,NEAR EAST                          ,26783383,61.3,"50,25",1500.0,40.4,1,31.98,5.37
Ireland ,WESTERN EUROPE                     ,4062235,57.8,"5,39",29600.0,98.0,3,14.45,7.82
Isle of Man ,WESTERN EUROPE                     ,75441,131.9,"5,93",21000.0,,3,11.05,11.19
Israel ,NEAR EAST                          ,6352117,305.8,"7,03",19800.0,95.4,3,17.97,6.18
Italy ,WESTERN EUROPE                     ,58133509,193.0,"5,94",26700.0,98.6,,8.72,10.4
Jamaica ,LATIN AMER. & CARIB    ,2758124,250.9,"12,36",3900.0,87.9,2,20.82,6.52
Japan ,ASIA (EX. NEAR EAST)         ,127463611,337.4,"3,26",28200.0,99.0,3,9.37,9.16
Jersey ,WESTERN EUROPE                     ,91084,785.2,"5,24",24800.0,,3,9.3,9.28
Jordan ,NEAR EAST                          ,5906760,64.0,"17,35",4300.0,91.3,1,21.25,2.65
Kazakhstan ,C.W. OF IND. STATES ,15233244,5.6,"29,21",6300.0,98.4,4,16.0,9.42
Kenya ,SUB-SAHARAN AFRICA                 ,34707817,59.6,"61,47",1000.0,85.1,"1,5",39.72,14.02
Kiribati ,OCEANIA                            ,105432,130.0,"48,52",800.0,,2,30.65,8.26
"Korea, North ",ASIA (EX. NEAR EAST)         ,23113019,191.8,"24,04",1300.0,99.0,3,15.54,7.13
"Korea, South ",ASIA (EX. NEAR EAST)         ,48846823,496.0,"7,05",17800.0,97.9,3,10.0,5.85
Kuwait ,NEAR EAST                          ,2418393,135.7,"9,95",19000.0,83.5,1,21.94,2.41
Kyrgyzstan ,C.W. OF IND. STATES ,5213898,26.3,"35,64",1600.0,97.0,"2,5",22.8,7.08
Laos ,ASIA (EX. NEAR EAST)         ,6368481,26.9,"85,22",1700.0,66.4,2,35.49,11.55
Latvia ,BALTICS                            ,2274735,35.2,"9,55",10200.0,99.8,3,9.24,13.66
